,IV
V14,4.476725792834542
V12,4.049816431469251
V17,3.9163878771873053
V10,3.840119881566064
V4,3.8197555748421137
V11,3.5437675825119
V3,3.4905954378087003
V16,3.4690964481403936
V7,2.8860975419769033
V2,2.7308589310130778
V21,2.487952850451048
V27,2.180971877529788
V18,2.1036462950892862
V9,2.04033317438181
V28,1.9977144383357799
V5,1.916985500033041
V1,1.865351559032145
V8,1.5288708980595038
V6,1.5149587705161571
V19,1.054882475216385
V20,1.0532008535852517
V23,0.8845933367804908
Amount_log,0.8777023080298797
Hour,0.363239680445602
V24,0.26939588321003455
V25,0.2457088964169514
V22,0.1486336990195221
V13,0.12796990427479255
rolling_std_amount,0.11528091244351896
V15,0.10012061102973417
